rs_school_emis_code,sc_total_exp_current_year,sc_balance,total_funds_available
31110001,276183,1624878,1901061
31110002,269962,1226920,1496882
31110003,123640,1576831,1700471
31110004,148000,828761,976761
31110005,0,2450946,2450946
31110006,381076,832477,1213553
31110007,0,1360501,1360501
31110008,0,951223,951223
31110009,0,0,0
31110010,138220,1639602,1777822
31110011,210998,391832,602830
31110012,0,1284418,1284418
31110013,106812,1418053,1524865
31110014,415707,822856,1238563
31110015,890000,1184941,2074941
31110017,7096,339617,346713
31110018,255158,1096624,1351782
31110019,0,919220,919220
31110020,0,0,0
31110021,363715,1052803,1416518
31110022,117526,782465,899991
31110023,189292,964085,1153377
31110024,552752,822727,1375479
31110025,194868,1026315,1221183
31110026,100031,1147084,1247115
31110027,177000,1003750,1180750
31110028,271075,923176,1194251
31110029,0,8437,8437
31110030,161050,1162025,1323075
31110031,339225,2075012,2414237
31110032,11000,1655066,1666066
31110033,0,0,0
31110034,0,1388867,1388867
31110035,195915,1221313,1417228
31110036,333487,1204552,1538039
31110037,140790,2192349,2333139
31110038,615363,821966,1437329
31110039,0,1176258,1176258
31110040,163230,1021350,1184580
31110041,0,1196145,1196145
31110042,145750,1123753,1269503
31110043,111000,1097468,1208468
31110044,50000,422759,472759
31110045,54297,1145311,1199608
31110046,0,503388,503388
31110047,100000,232287,332287
31110048,100035,17389,117424
31110049,350267,1013817,1364084
31110050,144035,86968,231003
31110051,100000,176819,276819
31110052,167941,42547,210488
31110054,70000,51998,121998
31110055,140000,287720,427720
31110056,230000,136178,366178
31110057,197800,50574,248374
31110058,48000,1205170,1253170
31110059,0,368231,368231
31110060,200000,115226,315226
31110061,0,1440075,1440075
31110062,250000,1020280,1270280
31110063,28371,1160425,1188796
31110064,558422,753554,1311976
31110065,80000,172778,252778
31110066,50000,950247,1000247
31110067,140000,61000,201000
31110068,237000,973152,1210152
31110069,150000,2408086,2558086
31110070,0,0,0
31110071,0,142559,142559
31110072,0,180,180
31110073,150035,32835,182870
31110074,150000,73820,223820
31110075,140000,73001,213001
31110076,161470,268534,430004
31110078,8903,226717,235620
31110079,120105,935429,1055534
31110080,45000,1099234,1144234
31110081,291001,1130482,1421483
31110082,0,22467,22467
31110083,0,584604,584604
31110084,210000,943398,1153398
31110085,0,961143,961143
31110086,70000,1121782,1191782
31110087,46600,61236,107836
31110088,0,660002,660002
31110090,50000,5020,55020
31110093,0,885428,885428
31110097,75450,448396,523846
31110098,0,492376,492376
31110103,25000,75568,100568
31110104,0,963888,963888
31110105,55000,511106,566106
31110107,0,0,0
31110108,60300,821016,881316
31110109,20000,436307,456307
31110110,110000,432532,542532
31110111,0,698899,698899
31110114,95600,533700,629300
31110116,82000,469516,551516
31110117,12000,567528,579528
31110118,13000,722804,735804
31110119,105000,969752,1074752
31110120,0,1160811,1160811
31110121,0,0,0
31110122,80000,515640,595640
31110124,50000,69657,119657
31110127,0,1313831,1313831
31110130,80035,419481,499516
31110131,30000,763139,793139
31110132,0,0,0
31110133,80000,411013,491013
31110134,40070,1104622,1144692
31110136,90000,945346,1035346
31110139,65000,70854,135854
31110140,50000,1659,51659
31110143,55000,494257,549257
31110144,130070,418019,548089
31110146,0,557217,557217
31110147,0,78380,78380
31110148,32000,160480,192480
31110149,50000,1049100,1099100
31110150,45000,145872,190872
31110152,0,0,0
31110154,25000,63878,88878
31110155,0,956570,956570
31110156,12116,20345,32461
31110157,0,951756,951756
31110158,0,745360,745360
31110162,50000,149664,199664
31110164,30000,139051,169051
31110167,35,1079934,1079969
31110168,61471,86113,147584
31110169,0,163684,163684
31110177,140058,3664,143722
31110180,63413,4819,68232
31110181,35,627165,627200
31110185,160000,516573,676573
31110189,100000,934291,1034291
31110190,98690,1044026,1142716
31110191,0,1279793,1279793
31110193,0,205006,205006
31110194,0,971293,971293
31110195,0,72998,72998
31110196,20000,476449,496449
31110199,0,1047089,1047089
31110202,90070,63697,153767
31110205,8000,116176,124176
31110207,25105,45768,70873
31110208,98000,45535,143535
31110209,10000,59019,69019
31110211,48000,21578,69578
31110213,25000,166333,191333
31110214,78000,922714,1000714
31110215,35000,94969,129969
31110216,0,245924,245924
31110217,0,0,0
31110218,100000,172939,272939
31110219,30000,51580,81580
31110222,0,46654,46654
31110223,50000,191877,241877
31110226,0,987686,987686
31110227,100000,1279393,1379393
31110228,0,882575,882575
31110232,0,57808,57808
31110233,100000,27234,127234
31110234,0,480601,480601
31110235,35535,1238,36773
31110236,0,20642,20642
31110238,0,646672,646672
31110239,95070,996536,1091606
31110240,0,703923,703923
31110241,49000,659,49659
31110243,155000,72502,227502
31110244,70105,8735,78840
31110245,68035,566726,634761
31110246,98000,411916,509916
31110249,0,923956,923956
31110250,90000,231672,321672
31110251,65928,30879,96807
31110253,0,903546,903546
31110254,45850,108566,154416
31110256,0,1054909,1054909
31110257,0,55630,55630
31110258,100635,698733,799368
31110259,0,136468,136468
31110261,0,292346,292346
31110263,81581,70,81651
31110266,0,574562,574562
31110267,38894,25675,64569
31110268,90035,43003,133038
31110269,40035,48535,88570
31110270,0,170791,170791
31110271,0,442017,442017
31110272,107000,452299,559299
31110274,15000,508865,523865
31110275,100000,500087,600087
31110278,0,0,0
31110279,100425,21189,121614
31110280,180000,88801,268801
31110281,0,1251648,1251648
31110284,70000,33162,103162
31110285,0,66815,66815
31110286,123000,2577,125577
31110287,0,519246,519246
31110289,50000,59029,109029
31110290,158000,858892,1016892
31110291,0,88785,88785
31110292,118000,95016,213016
31110293,0,168246,168246
31110294,25000,97031,122031
31110295,60000,1086769,1146769
